"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
"53",0,77.5,100,80,100,90,80,0,65,12,87.5,94.4444444444444,75,85,34.4,69.3,43,77,74.0625,88.9814814814815,100,73.4159722222222,"C"
"54",92.5,95,85,100,100,99,89,100,100,12,91.6666666666667,100,75,100,67.2,70.2,84,78,96.9375,97.2222222222222,100,89.9645833333333,"A-"
"55",90,95,100,100,100,99,100,80,85,12,100,100,75,100,71.2,76.5,89,85,96.125,100,100,92.8875,"A"
"56",87.5,77.5,97.5,90,97,96,90,80,80,12,95.8333333333333,0,55,80,56,60.75,70,67.5,89.75,76.9444444444444,100,79.3416666666667,"C+"
"57",92.5,100,100,100,95,99,94,99,95,12,75,100,85,95,70.4,77.4,88,86,97.75,93.3333333333333,100,92.425,"A"
"58",95,98,92.5,70,95,98,100,100,98,12,100,77.7777777777778,50,90,68.8,70.2,86,78,97.0625,89.2592592592593,100,89.2076388888889,"A-"
"59",82,100,91.5,100,100,90,100,70,96,12,50,77.7777777777778,60,95,55.2,63.9,69,71,94.9375,77.5925925925926,100,81.6701388888889,"B-"
"60",82.5,100,85,75,95,86,26,45,65,12,33.3333333333333,55.5555555555556,50,85,36.8,36,46,40,79.1875,63.5185185185185,100,62.4840277777778,"C-"
"61",90,95,100,100,100,96,100,95,100,12,66.6666666666667,94.4444444444444,75,90,44.8,63,56,70,98.25,86.4814814814815,100,81.1472222222222,"B-"
"62",87.5,77.5,100,80,85,99,100,100,85,11,66.6666666666667,55.5555555555556,25,60,38.4,40.95,48,45.5,92.0625,60.7407407407407,100,67.7048611111111,"C-"
"63",74,100,85,90,90,96,86,90,98,12,91.6666666666667,77.7777777777778,75,90,60.8,76.05,76,84.5,91.875,86.4814814814815,100,86.8597222222222,"B+"
"64",80,60,95,80,85,91,68,80,67.5,12,41.6666666666667,61.1111111111111,55,80,36.8,45,46,50,80.8125,65.3703703703704,100,65.7493055555556,"C-"
